pincode,radius_km
221507,8.66
221508,30.0
221601,0.73
221602,0.0
221603,7.75
221701,6.61
221705,2.01
221706,0.28
221709,12.55
221711,7.46
221712,30.0
221713,5.55
221715,9.06
221716,4.29
221717,30.0
221718,0.44
222001,30.0
222002,30.0
222003,30.0
222105,30.0
222109,30.0
222125,30.0
222126,30.0
222127,30.0
222128,30.0
222129,30.0
222131,30.0
222132,30.0
222133,30.0
222135,30.0
222136,30.0
222137,30.0
222138,30.0
222139,30.0
222141,30.0
222142,30.0
222143,30.0
222144,30.0
222145,30.0
222146,30.0
222148,30.0
222149,30.0
222161,30.0
222162,30.0
222165,30.0
222170,30.0
222175,30.0
222180,30.0
222181,30.0
222201,30.0
222202,30.0
222203,30.0
222204,30.0
222301,4.8
222302,3.55
222303,30.0
223101,30.0
223102,30.0
223103,30.0
223104,30.0
223105,30.0
223221,0.11
223222,9.25
223224,0.0
223225,0.0
223226,6.65
223227,11.57
224001,9.62
224116,5.11
224117,4.17
224118,2.01
224119,3.42
224120,3.72
224121,4.55
224122,28.39
224123,30.0
224125,30.0
224126,30.0
224127,30.0
224129,0.04
224132,29.2
224133,1.35
224135,2.82
224137,30.0
224139,24.84
224141,19.01
224143,19.75
224145,30.0
224146,7.99
224147,30.0
224149,30.0
224151,9.97
224152,5.68
224153,24.56
224155,30.0
224157,30.0
224158,0.25
224159,17.98
224161,30.0
224164,4.08
224168,30.0
224171,30.0
224172,30.0
224176,30.0
224181,30.0
224182,0.04
224183,30.0
224186,30.0
224188,2.33
224189,30.0
224190,30.0
224195,30.0
224201,30.0
224202,3.63
224203,30.0
224204,2.38
224205,10.02
224206,11.15
224207,9.56
224208,14.5
224209,27.65
224210,10.23
224225,30.0
224227,30.0
224228,21.7
224229,30.0
224230,30.0
224231,30.0
224234,30.0
224235,11.93
224284,30.0
225001,20.17
225003,9.69
225119,2.24
225120,1.76
225121,30.0
225122,30.0
225123,8.66
225124,5.51
225125,4.06
225126,6.43
225201,6.78
225202,30.0
225203,20.13
225204,5.72
225205,30.0
225206,30.0
225207,11.32
225208,30.0
225301,0.91
225302,0.0
225303,0.0
225304,1.01
225305,18.25
225306,0.0
225401,5.68
225403,4.57
225404,7.61
225405,25.71
225409,6.09
225412,7.57
225413,1.94
225414,30.0
